Species,StockVersion,"ProductionRegion
Number",ManagementUnitNumber,RRTerm_PR,"RRTerm
_PR_MU",StockID,StockLongName,StockName,StkGroup,MZGroup,StkLabel,TYPE,PR_Alpha,NatManagementObj
COHO,1,11,4,11,2,148,Quinault River Fall Hatchery Marked,M-quinfh,74,,Quinault River Fall Hatchery,Hatchery,K,
COHO,1,12,1,12,1,149,Chehalis River Wild UnMarked,U-chehlw,75,19,Chehalis River Wild,Wild,L,Grays Harbor
COHO,1,12,2,12,1,150,Chehalis River Wild Marked,M-chehlw,75,19,Chehalis River Wild,Wild,L,Grays Harbor
COHO,1,12,3,12,2,151,Chehalis River Hatchery UnMarked,U-chehlh,76,,Chehalis River Hatchery,Hatchery,L,
COHO,1,12,4,12,2,152,Chehalis River Hatchery Marked,M-chehlh,76,,Chehalis River Hatchery,Hatchery,L,
COHO,1,12,5,12,3,153,Humptulips River Wild UnMarked,U-humptw,77,20,Humptulips River Wild,Wild,L,Grays Harbor
COHO,1,12,6,12,3,154,Humptulips River Wild Marked,M-humptw,77,20,Humptulips River Wild,Wild,L,Grays Harbor
COHO,1,12,7,12,4,155,Humptulips River Hatchery UnMarked,U-humpth,78,,Humptulips River Hatchery,Hatchery,L,
COHO,1,12,8,12,4,156,Humptulips River Hatchery Marked,M-humpth,78,,Humptulips River Hatchery,Hatchery,L,
COHO,1,12,9,12,5,157,Grays Harbor Miscellaneous Wild UnMarked,U-gryhmw,79,,Grays Harbor Miscellaneous Wild,Wild,L,Grays Harbor
COHO,1,12,10,12,5,158,Grays Harbor Miscellaneous Wild Marked,M-gryhmw,79,,Grays Harbor Miscellaneous Wild,Wild,L,Grays Harbor
COHO,1,12,11,12,6,159,Grays Harbor Net Pens UnMarked,U-gryhbh,80,,Grays Harbor Net Pens,Hatchery,L,
COHO,1,12,12,12,6,160,Grays Harbor Net Pens Marked,M-gryhbh,80,,Grays Harbor Net Pens,Hatchery,L,
COHO,1,13,1,13,1,161,Willapa Bay Natural UnMarked,U-willaw,81,21,Willapa Bay Natural,Wild,M,Willapa Bay
COHO,1,13,2,13,1,162,Willapa Bay Natural Marked,M-willaw,81,21,Willapa Bay Natural,Wild,M,Willapa Bay
COHO,1,13,3,13,2,163,Willapa Bay Hatchery UnMarked,U-willah,82,,Willapa Bay Hatchery,Hatchery,M,
COHO,1,13,4,13,2,164,Willapa Bay Hatchery Marked,M-willah,82,,Willapa Bay Hatchery,Hatchery,M,
COHO,1,14,1,14,1,165,Columbia River Early Hatchery UnMarked,U-colreh,83,,Columbia River Early Hatchery,Hatchery,N,
COHO,1,14,2,14,1,166,Columbia River Early Hatchery Marked,M-colreh,83,,Columbia River Early Hatchery,Hatchery,N,
COHO,1,14,3,14,2,167,Youngs Bay Hatchery UnMarked,U-youngh,84,,Youngs Bay Hatchery,Hatchery,N,
COHO,1,14,4,14,2,168,Youngs Bay Hatchery Marked,M-youngh,84,,Youngs Bay Hatchery,Hatchery,N,
COHO,1,14,5,14,3,169,Lower Col R Oregon Wild UnMarked,U-crorew,85,,Lower Col R Oregon Wild,Wild,N,
COHO,1,14,6,14,3,170,Lower Col R Oregon Wild Marked,M-crorew,85,,Lower Col R Oregon Wild,Wild,N,
COHO,1,14,7,14,4,171,Wash Early Wild UnMarked,U-washew,86,,Wash Early Wild,Wild,N,
COHO,1,14,8,14,4,172,Wash Early Wild Marked,M-washew,86,,Wash Early Wild,Wild,N,
COHO,1,14,9,14,5,173,Wash Late Wild UnMarked,U-washlw,87,,Wash Late Wild,Wild,N,Lower Columbia River Natural
COHO,1,14,10,14,5,174,Wash Late Wild Marked,M-washlw,87,,Wash Late Wild,Wild,N,Lower Columbia River Natural
COHO,1,14,11,14,6,175,Columbia River Late Hatchery UnMarked,U-colrlh,88,,Columbia River Late Hatchery,Hatchery,N,
COHO,1,14,12,14,6,176,Columbia River Late Hatchery Marked,M-colrlh,88,,Columbia River Late Hatchery,Hatchery,N,
COHO,1,15,1,15,3,177,Oregon North Coast Hatchery UnMarked,U-orenoh,89,,Oregon North Coast Hatchery,Hatchery,O,
COHO,1,15,2,15,3,178,Oregon North Coast Hatchery Marked,M-orenoh,89,,Oregon North Coast Hatchery,Hatchery,O,
COHO,1,15,3,15,4,179,Oregon North Coast Wild UnMarked,U-orenow,90,,Oregon North Coast Wild,Wild,O,Oregon Coast Natural
COHO,1,15,4,15,4,180,Oregon North Coast Wild Marked,M-orenow,90,,Oregon North Coast Wild,Wild,O,Oregon Coast Natural
COHO,1,15,5,15,5,181,Oregon North-Mid Coast Hatchery UnMarked,U-orenmh,91,,Oregon North-Mid Coast Hatchery,Hatchery,O,
COHO,1,15,6,15,5,182,Oregon North-Mid Coast Hatchery Marked,M-orenmh,91,,Oregon North-Mid Coast Hatchery,Hatchery,O,
COHO,1,15,7,15,6,183,Oregon North-Mid Coast Wild UnMarked,U-orenmw,92,,Oregon North-Mid Coast Wild,Wild,O,Oregon Coast Natural
COHO,1,15,8,15,6,184,Oregon North-Mid Coast Wild Marked,M-orenmw,92,,Oregon North-Mid Coast Wild,Wild,O,Oregon Coast Natural
COHO,1,15,9,15,7,185,Oregon South-Mid Coast Hatchery UnMarked,U-oresmh,93,,Oregon South-Mid Coast Hatchery,Hatchery,O,
COHO,1,15,10,15,7,186,Oregon South-Mid Coast Hatchery Marked,M-oresmh,93,,Oregon South-Mid Coast Hatchery,Hatchery,O,
COHO,1,15,11,15,8,187,Oregon South-Mid Coast Wild UnMarked,U-oresmw,94,,Oregon South-Mid Coast Wild,Wild,O,Oregon Coast Natural
COHO,1,15,12,15,8,188,Oregon South-Mid Coast Wild Marked,M-oresmw,94,,Oregon South-Mid Coast Wild,Wild,O,Oregon Coast Natural
COHO,1,15,13,15,9,189,Oregon Anadromous Hatchery UnMarked,U-oranah,95,,Oregon Anadromous Hatchery,Hatchery,O,
COHO,1,15,14,15,9,190,Oregon Anadromous Hatchery Marked,M-oranah,95,,Oregon Anadromous Hatchery,Hatchery,O,
COHO,1,15,15,15,10,191,Oregon Aqua-Foods Hatchery UnMarked,U-oraqah,96,,Oregon Aqua-Foods Hatchery,Hatchery,O,
COHO,1,15,16,15,10,192,Oregon Aqua-Foods Hatchery Marked,M-oraqah,96,,Oregon Aqua-Foods Hatchery,Hatchery,O,
COHO,1,16,1,16,1,193,Oregon South Coast Hatchery UnMarked,U-oresoh,97,,Oregon South Coast Hatchery,Hatchery,P,
COHO,1,16,2,16,1,194,Oregon South Coast Hatchery Marked,M-oresoh,97,,Oregon South Coast Hatchery,Hatchery,P,
COHO,1,16,3,16,2,195,Oregon South Coast Wild UnMarked,U-oresow,98,,Oregon South Coast Wild,Wild,P,
COHO,1,16,4,16,2,196,Oregon South Coast Wild Marked,M-oresow,98,,Oregon South Coast Wild,Wild,P,
COHO,1,16,5,16,3,197,California North Coast Hatchery UnMarked,U-calnoh,99,,California North Coast Hatchery,Hatchery,P,
COHO,1,16,6,16,3,198,California North Coast Hatchery Marked,M-calnoh,99,,California North Coast Hatchery,Hatchery,P,
COHO,1,16,7,16,4,199,California North Coast Wild UnMarked,U-calnow,100,,California North Coast Wild,Wild,P,
COHO,1,16,8,16,4,200,California North Coast Wild Marked,M-calnow,100,,California North Coast Wild,Wild,P,
COHO,1,16,9,16,5,201,California Central Coast Hatchery UnMarked,U-calcnh,101,,California Central Coast Hatchery,Hatchery,P,
COHO,1,16,10,16,5,202,California Central Coast Hatchery Marked,M-calcnh,101,,California Central Coast Hatchery,Hatchery,P,
COHO,1,16,11,16,6,203,California Central Coast Wild UnMarked,U-calcnw,102,,California Central Coast Wild,Wild,P,
COHO,1,16,12,16,6,204,California Central Coast Wild Marked,M-calcnw,102,,California Central Coast Wild,Wild,P,
